Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,https://cashmoovmm.com:8081/ewallet/public/walletOwner/msisdn/623273737,9856,196,7400,16598.911525974025,510,82296,1136.1806006493507,116.60608481984038,2.3188710049400076,7400,11000,16000,22000,63000,69000,73000,75000,80000,82000,82000
,Aggregated,9856,196,7400,16598.911525974025,510,82296,1136.1806006493507,116.60608481984038,2.3188710049400076,7400,11000,16000,22000,63000,69000,73000,75000,80000,82000,82000
